Transaction Date,Value Date,Transaction Remarks,Cheque Number,Type,Transaction Amount,Balance
11-JUN-2025,11-JUN-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,80507.24
11-JUN-2025,11-JUN-2025,UPI/682157371704/BEHROUZ BIRYANI/PAYTM,,DR,754.70,79752.54
12-JUN-2025,12-JUN-2025,ATW-4219XXXXXXXX4718-HDFC BANK ATM CASH WITHDRAWAL,,DR,5000.00,74752.54
12-JUN-2025,12-JUN-2025,UPI/428935885511/MAHANAGAR GAS BILL PAY/MGAS,,DR,688.23,74064.31
13-JUN-2025,13-JUN-2025,POS 5190XXXXXXXX8369 AMAZON SELLER SERVICES,,DR,4629.12,69435.19
14-JUN-2025,14-JUN-2025,NEFT DR-INCOME TAX DEPT-ADVANCE TAX INSTALMENT,,DR,65493.53,3941.66
14-JUN-2025,14-JUN-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,3342.66
15-JUN-2025,15-JUN-2025,POS 4270XXXXXXXX7285 MCDONALDS INDIA PVT,,DR,674.78,2667.88
16-JUN-2025,16-JUN-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,992.88
16-JUN-2025,16-JUN-2025,IMPS CR-970577790-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,37809.75,38802.63
16-JUN-2025,16-JUN-2025,POS 5401XXXXXXXX1132 STARBUCKS COFFEE INDIA,,DR,376.95,38425.68
16-JUN-2025,16-JUN-2025,UPI/808354135369/BIGBASKET SUPERMKT/ICIC,,DR,1777.81,36647.87
17-JUN-2025,17-JUN-2025,POS 5492XXXXXXXX7911 IRCTC RAIL TICKET BOOKING,,DR,1843.68,34804.19
18-JUN-2025,18-JUN-2025,UPI/360417530637/UBER INDIA SYSTEMS/HDFC,,DR,437.73,34366.46
19-JUN-2025,19-JUN-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,34156.46
19-JUN-2025,19-JUN-2025,UPI/223375714614/CRED CLUB CREDIT CARD BILL/AXIS,,DR,9209.50,24946.96
21-JUN-2025,21-JUN-2025,IMPS CR-620454510-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,41342.22,66289.18
21-JUN-2025,21-JUN-2025,UPI/246817707214/URBAN COMPANY SALON/HDFC,,DR,884.19,65404.99
21-JUN-2025,21-JUN-2025,UPI/337802392373/UBER INDIA SYSTEMS/HDFC,,DR,314.90,65090.09
23-JUN-2025,23-JUN-2025,POS 5454XXXXXXXX8120 PRACTO CONSULT,,DR,1250.51,63839.58
24-JUN-2025,24-JUN-2025,POS 4388XXXXXXXX9858 CHAAYOS TEA CAFE,,DR,163.10,63676.48
25-JUN-2025,25-JUN-2025,UPI/801395520120/BIGBASKET SUPERMKT/ICIC,,DR,3332.24,60344.24
25-JUN-2025,25-JUN-2025,UPI/827101071327/RAPIDO BIKE TAXI/YESB,,DR,187.91,60156.33
27-JUN-2025,27-JUN-2025,POS 5061XXXXXXXX3731 IRCTC RAIL TICKET BOOKING,,DR,2277.27,57879.06
28-JUN-2025,28-JUN-2025,POS 5526XXXXXXXX6375 IRCTC RAIL TICKET BOOKING,,DR,946.96,56932.10
28-JUN-2025,28-JUN-2025,UPI/170660990342/WOW MOMO FOODS/AXIS,,DR,552.86,56379.24
28-JUN-2025,28-JUN-2025,UPI/725526150826/ZEPTO NOW/YESB,,DR,456.92,55922.32
28-JUN-2025,28-JUN-2025,UPI/774065166440/PHARMEASY ONLINE/ICIC,,DR,1435.97,54486.35
30-JUN-2025,30-JUN-2025,UPI/446052128960/LICIOUS MEAT DELIVERY/HDFC,,DR,1343.28,53143.07
01-JUL-2025,01-JUL-2025,ATM CASH WDL CHARGE EXCEEDING FREE LIMIT INCL GST,,DR,25.96,53117.11
01-JUL-2025,01-JUL-2025,UPI/551126088307/BIGBASKET SUPERMKT/ICIC,,DR,2289.16,50827.95
02-JUL-2025,02-JUL-2025,POS 4088XXXXXXXX8630 IRCTC RAIL TICKET BOOKING,,DR,1282.30,49545.65
02-JUL-2025,02-JUL-2025,UPI/327129405710/LICIOUS MEAT DELIVERY/HDFC,,DR,1298.63,48247.02
02-JUL-2025,02-JUL-2025,UPI/578711364102/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,20247.02
03-JUL-2025,03-JUL-2025,UPI/525079250022/COUNTRY DELIGHT MILK/AXIS,,DR,732.93,19514.09
03-JUL-2025,03-JUL-2025,UPI/961125754873/DOMINOS PIZZA IND/ICIC,,DR,661.01,18853.08
04-JUL-2025,04-JUL-2025,UPI/601958210538/PAYTM FASTAG RECHARGE/PYTM,,DR,453.37,18399.71
04-JUL-2025,04-JUL-2025,UPI/650062197158/BIGBASKET SUPERMKT/ICIC,,DR,1362.83,17036.88
05-JUL-2025,05-JUL-2025,POS 4383XXXXXXXX1662 THIRD WAVE COFFEE,,DR,494.06,16542.82
05-JUL-2025,05-JUL-2025,POS 5485XXXXXXXX3766 PVR CINEMAS LTD,,DR,454.32,16088.50
05-JUL-2025,05-JUL-2025,UPI/350179348532/RAPIDO BIKE TAXI/YESB,,DR,218.86,15869.64
05-JUL-2025,05-JUL-2025,UPI/575203026582/URBAN COMPANY SALON/HDFC,,DR,911.26,14958.38
05-JUL-2025,05-JUL-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,13759.38
06-JUL-2025,06-JUL-2025,UPI/209397759911/OLA CABS ANI TECH/PAYTM,,DR,645.14,13114.24
06-JUL-2025,06-JUL-2025,UPI/729483847870/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,1114.24
07-JUL-2025,07-JUL-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,465.24
07-JUL-2025,07-JUL-2025,POS 5098XXXXXXXX1504 STARBUCKS COFFEE INDIA,,DR,441.83,23.41
07-JUL-2025,07-JUL-2025,UPI/292638680521/RAPIDO BIKE TAXI/YESB,,DR,218.01,-194.60
08-JUL-2025,08-JUL-2025,POS 5210XXXXXXXX2512 IRCTC RAIL TICKET BOOKING,,DR,1506.92,-1701.52
08-JUL-2025,08-JUL-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1417.50,-3119.02
09-JUL-2025,09-JUL-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,-5569.02
09-JUL-2025,09-JUL-2025,POS 4269XXXXXXXX2143 THIRD WAVE COFFEE,,DR,197.67,-5766.69
11-JUL-2025,11-JUL-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,-5915.69
12-JUL-2025,12-JUL-2025,UPI/117505364244/MAHANAGAR GAS BILL PAY/MGAS,,DR,658.52,-6574.21
12-JUL-2025,12-JUL-2025,UPI/187327524748/UBER INDIA SYSTEMS/HDFC,,DR,618.22,-7192.43
12-JUL-2025,12-JUL-2025,UPI/981192987861/SWIGGY FOOD ORDER/HDFC,,DR,510.67,-7703.10
14-JUL-2025,14-JUL-2025,POS 5151XXXXXXXX7668 IRCTC RAIL TICKET BOOKING,,DR,2318.20,-10021.30
14-JUL-2025,14-JUL-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,-10620.30
15-JUL-2025,15-JUL-2025,UPI/667152751823/WOW MOMO FOODS/AXIS,,DR,244.53,-10864.83
16-JUL-2025,16-JUL-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,-12539.83
16-JUL-2025,16-JUL-2025,POS 5187XXXXXXXX3283 IRCTC RAIL TICKET BOOKING,,DR,2160.63,-14700.46
16-JUL-2025,16-JUL-2025,UPI/699761349751/WOW MOMO FOODS/AXIS,,DR,154.13,-14854.59
18-JUL-2025,18-JUL-2025,UPI/311671445144/SWIGGY FOOD ORDER/HDFC,,DR,274.68,-15129.27
19-JUL-2025,19-JUL-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,-15339.27
19-JUL-2025,19-JUL-2025,POS 5154XXXXXXXX9801 LAKME SALON,,DR,1975.34,-17314.61
19-JUL-2025,19-JUL-2025,UPI/218063139031/DOMINOS PIZZA IND/ICIC,,DR,578.38,-17892.99
19-JUL-2025,19-JUL-2025,UPI/288042623797/BOOKMYSHOW TICKETS/HDFC,,DR,1182.41,-19075.40
21-JUL-2025,21-JUL-2025,POS 4268XXXXXXXX8665 DECATHLON SPORTS INDIA,,DR,3868.89,-22944.29
21-JUL-2025,21-JUL-2025,POS 5521XXXXXXXX1160 CULT FIT FITNESS,,DR,1762.81,-24707.10
21-JUL-2025,21-JUL-2025,UPI/848719550238/RAPIDO BIKE TAXI/YESB,,DR,71.64,-24778.74
22-JUL-2025,22-JUL-2025,ATW-4097XXXXXXXX4949-HDFC BANK ATM CASH WITHDRAWAL,,DR,3000.00,-27778.74
22-JUL-2025,22-JUL-2025,ATW-4881XXXXXXXX6523-HDFC BANK ATM CASH WITHDRAWAL,,DR,3000.00,-30778.74
22-JUL-2025,22-JUL-2025,IMPS CR-251281558-KETTLE & CO-INVOICE SETTLEMENT,,CR,58261.01,27482.27
22-JUL-2025,22-JUL-2025,UPI/504860116418/URBAN COMPANY SALON/HDFC,,DR,1507.38,25974.89
24-JUL-2025,24-JUL-2025,UPI/813827640903/PAYTM FASTAG RECHARGE/PYTM,,DR,803.26,25171.63
25-JUL-2025,25-JUL-2025,IMPS CR-594812286-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,56741.99,81913.62
25-JUL-2025,25-JUL-2025,IMPS CR-690976375-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,74621.54,156535.16
26-JUL-2025,26-JUL-2025,UPI/242342944476/BEHROUZ BIRYANI/PAYTM,,DR,606.38,155928.78
27-JUL-2025,27-JUL-2025,UPI/162047434060/NAMMA YATRI/AXIS,,DR,270.82,155657.96
27-JUL-2025,27-JUL-2025,UPI/939302528490/LICIOUS MEAT DELIVERY/HDFC,,DR,677.02,154980.94
28-JUL-2025,28-JUL-2025,POS 4175XXXXXXXX2615 AMAZON SELLER SERVICES,,DR,2250.26,152730.68
28-JUL-2025,28-JUL-2025,POS 4802XXXXXXXX5342 STARBUCKS COFFEE INDIA,,DR,273.22,152457.46
28-JUL-2025,28-JUL-2025,UPI/780373925658/OLA CABS ANI TECH/PAYTM,,DR,187.96,152269.50
29-JUL-2025,29-JUL-2025,UPI/743171946065/DOMINOS PIZZA IND/ICIC,,DR,806.25,151463.25
01-AUG-2025,01-AUG-2025,POS 4042XXXXXXXX1168 AMAZON SELLER SERVICES,,DR,3935.93,147527.32
01-AUG-2025,01-AUG-2025,POS 4645XXXXXXXX7866 CHAAYOS TEA CAFE,,DR,294.02,147233.30
02-AUG-2025,02-AUG-2025,UPI/376056495138/BARBEQUE NATION HOSP/HDFC,,DR,2679.06,144554.24
02-AUG-2025,02-AUG-2025,UPI/478248720295/PAYTM FASTAG RECHARGE/PYTM,,DR,641.50,143912.74
02-AUG-2025,02-AUG-2025,UPI/841142611707/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,115912.74
03-AUG-2025,03-AUG-2025,POS 4905XXXXXXXX5663 PVR CINEMAS LTD,,DR,371.79,115540.95
03-AUG-2025,03-AUG-2025,UPI/447184878186/COUNTRY DELIGHT MILK/AXIS,,DR,455.44,115085.51
03-AUG-2025,03-AUG-2025,UPI/611974633641/PAYTM FASTAG RECHARGE/PYTM,,DR,725.94,114359.57
04-AUG-2025,04-AUG-2025,UPI/466127634693/UBER INDIA SYSTEMS/HDFC,,DR,180.99,114178.58
05-AUG-2025,05-AUG-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,112979.58
06-AUG-2025,06-AUG-2025,POS 5599XXXXXXXX7266 CHAAYOS TEA CAFE,,DR,246.56,112733.02
06-AUG-2025,06-AUG-2025,UPI/866753727276/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,100733.02
07-AUG-2025,07-AUG-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,100084.02
07-AUG-2025,07-AUG-2025,IMPS CR-357239855-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,57230.99,157315.01
07-AUG-2025,07-AUG-2025,UPI/780638047514/PAYTM FASTAG RECHARGE/PYTM,,DR,834.80,156480.21
08-AUG-2025,08-AUG-2025,UPI/794425800581/RAPIDO BIKE TAXI/YESB,,DR,210.76,156269.45
08-AUG-2025,08-AUG-2025,UPI/896189302364/URBAN COMPANY SALON/HDFC,,DR,1181.65,155087.80
08-AUG-2025,08-AUG-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1380.66,153707.14
09-AUG-2025,09-AUG-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,151257.14
09-AUG-2025,09-AUG-2025,POS 4277XXXXXXXX4009 PVR CINEMAS LTD,,DR,854.31,150402.83
09-AUG-2025,09-AUG-2025,POS 5443XXXXXXXX9245 DMART AVENUE SUPERMARTS,,DR,1325.50,149077.33
09-AUG-2025,09-AUG-2025,POS 5563XXXXXXXX1278 HPCL PETROL PUMP,,DR,2266.81,146810.52
10-AUG-2025,10-AUG-2025,POS 4105XXXXXXXX1971 STEAM GAMES VALVE CORP,,DR,638.73,146171.79
10-AUG-2025,10-AUG-2025,POS 4974XXXXXXXX5593 DMART AVENUE SUPERMARTS,,DR,2797.12,143374.67
10-AUG-2025,10-AUG-2025,UPI/299118039219/BARBEQUE NATION HOSP/HDFC,,DR,2909.53,140465.14
11-AUG-2025,11-AUG-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,140316.14
11-AUG-2025,11-AUG-2025,IMPS CR-353809958-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,50908.10,191224.24
12-AUG-2025,12-AUG-2025,UPI/994283839107/MAHANAGAR GAS BILL PAY/MGAS,,DR,1072.42,190151.82
14-AUG-2025,14-AUG-2025,POS 4787XXXXXXXX5905 AMAZON SELLER SERVICES,,DR,4296.15,185855.67
14-AUG-2025,14-AUG-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,185256.67
15-AUG-2025,15-AUG-2025,UPI/184697667138/DOMINOS PIZZA IND/ICIC,,DR,889.44,184367.23
15-AUG-2025,15-AUG-2025,UPI/309546495843/OLA CABS ANI TECH/PAYTM,,DR,352.69,184014.54
16-AUG-2025,16-AUG-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,182339.54
16-AUG-2025,16-AUG-2025,UPI/632858108652/PAYTM FASTAG RECHARGE/PYTM,,DR,464.48,181875.06
17-AUG-2025,17-AUG-2025,POS 4920XXXXXXXX8265 STEAM GAMES VALVE CORP,,DR,1407.15,180467.91
17-AUG-2025,17-AUG-2025,UPI/624408479159/BLINKIT GROCERY/HDFC,,DR,649.10,179818.81
17-AUG-2025,17-AUG-2025,UPI/845717518680/RAPIDO BIKE TAXI/YESB,,DR,148.11,179670.70
18-AUG-2025,18-AUG-2025,POS 5136XXXXXXXX6510 MCDONALDS INDIA PVT,,DR,336.59,179334.11
18-AUG-2025,18-AUG-2025,UPI/179864683012/NYKAA ECOMM/ICIC,,DR,981.72,178352.39
19-AUG-2025,19-AUG-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,178142.39
19-AUG-2025,19-AUG-2025,ATW-4080XXXXXXXX6772-HDFC BANK ATM CASH WITHDRAWAL,,DR,5000.00,173142.39
19-AUG-2025,19-AUG-2025,UPI/392986108860/PHARMEASY ONLINE/ICIC,,DR,528.55,172613.84
19-AUG-2025,19-AUG-2025,UPI/772464203144/WOW MOMO FOODS/AXIS,,DR,455.65,172158.19
21-AUG-2025,21-AUG-2025,POS 4170XXXXXXXX6495 HPCL PETROL PUMP,,DR,2483.27,169674.92
21-AUG-2025,21-AUG-2025,UPI/451691584977/BIGBASKET SUPERMKT/ICIC,,DR,2073.75,167601.17
22-AUG-2025,22-AUG-2025,UPI/657224102921/ZEPTO NOW/YESB,,DR,1146.07,166455.10
23-AUG-2025,23-AUG-2025,POS 4795XXXXXXXX7691 THIRD WAVE COFFEE,,DR,249.57,166205.53
24-AUG-2025,24-AUG-2025,POS 4859XXXXXXXX6911 PRACTO CONSULT,,DR,684.00,165521.53
24-AUG-2025,24-AUG-2025,POS 5019XXXXXXXX9515 STEAM GAMES VALVE CORP,,DR,2465.18,163056.35
24-AUG-2025,24-AUG-2025,UPI/280922431555/RAPIDO BIKE TAXI/YESB,,DR,79.04,162977.31
24-AUG-2025,24-AUG-2025,UPI/654121879296/CRED CLUB CREDIT CARD BILL/AXIS,,DR,5607.82,157369.49
24-AUG-2025,24-AUG-2025,UPI/902358398831/SWIGGY FOOD ORDER/HDFC,,DR,374.92,156994.57
25-AUG-2025,25-AUG-2025,UPI/447868334765/BEHROUZ BIRYANI/PAYTM,,DR,790.42,156204.15
25-AUG-2025,25-AUG-2025,UPI/834005009210/BIGBASKET SUPERMKT/ICIC,,DR,3363.05,152841.10
26-AUG-2025,26-AUG-2025,UPI/543393980940/NAMMA YATRI/AXIS,,DR,345.99,152495.11
26-AUG-2025,26-AUG-2025,UPI/710824708036/BLINKIT GROCERY/HDFC,,DR,939.04,151556.07
26-AUG-2025,26-AUG-2025,UPI/835585227885/ZOMATO ONLINE ORDER/YESB,,DR,399.35,151156.72
29-AUG-2025,29-AUG-2025,UPI/574786320633/RAPIDO BIKE TAXI/YESB,,DR,142.27,151014.45
30-AUG-2025,30-AUG-2025,UPI/453878517248/BEHROUZ BIRYANI/PAYTM,,DR,1293.64,149720.81
30-AUG-2025,30-AUG-2025,UPI/525732264431/COUNTRY DELIGHT MILK/AXIS,,DR,635.47,149085.34
31-AUG-2025,31-AUG-2025,POS 4796XXXXXXXX3984 IRCTC RAIL TICKET BOOKING,,DR,637.04,148448.30
31-AUG-2025,31-AUG-2025,POS 4944XXXXXXXX9440 STEAM GAMES VALVE CORP,,DR,1415.88,147032.42
31-AUG-2025,31-AUG-2025,UPI/198627384171/BARBEQUE NATION HOSP/HDFC,,DR,2973.72,144058.70
31-AUG-2025,31-AUG-2025,UPI/631489815900/BLINKIT GROCERY/HDFC,,DR,828.57,143230.13
02-SEP-2025,02-SEP-2025,POS 4425XXXXXXXX7202 IKEA INDIA PVT LTD,,DR,6812.11,136418.02
02-SEP-2025,02-SEP-2025,UPI/418291964148/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,108418.02
03-SEP-2025,03-SEP-2025,POS 5207XXXXXXXX7016 CHAAYOS TEA CAFE,,DR,135.68,108282.34
03-SEP-2025,03-SEP-2025,UPI/279633231797/NAMMA YATRI/AXIS,,DR,107.82,108174.52
03-SEP-2025,03-SEP-2025,UPI/716771928383/URBAN COMPANY SALON/HDFC,,DR,1221.12,106953.40
04-SEP-2025,04-SEP-2025,POS 5412XXXXXXXX7535 HPCL PETROL PUMP,,DR,1560.49,105392.91
04-SEP-2025,04-SEP-2025,UPI/662976092316/WOW MOMO FOODS/AXIS,,DR,295.99,105096.92
05-SEP-2025,05-SEP-2025,UPI/136763170681/NAMMA YATRI/AXIS,,DR,281.66,104815.26
05-SEP-2025,05-SEP-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,103616.26
06-SEP-2025,06-SEP-2025,UPI/485343876678/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,91616.26
06-SEP-2025,06-SEP-2025,UPI/515301241814/BEHROUZ BIRYANI/PAYTM,,DR,1127.31,90488.95
07-SEP-2025,07-SEP-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,89839.95
07-SEP-2025,07-SEP-2025,UPI/314171223830/BLINKIT GROCERY/HDFC,,DR,706.92,89133.03
07-SEP-2025,07-SEP-2025,UPI/858954323742/OLA CABS ANI TECH/PAYTM,,DR,510.43,88622.60
08-SEP-2025,08-SEP-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1369.66,87252.94
09-SEP-2025,09-SEP-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,84802.94
10-SEP-2025,10-SEP-2025,UPI/672404933654/BLINKIT GROCERY/HDFC,,DR,352.44,84450.50
11-SEP-2025,11-SEP-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,84301.50
11-SEP-2025,11-SEP-2025,IMPS CR-127683213-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,73200.14,157501.64
11-SEP-2025,11-SEP-2025,UPI/442724416548/SWIGGY FOOD ORDER/HDFC,,DR,420.37,157081.27
12-SEP-2025,12-SEP-2025,UPI/590668933179/MAHANAGAR GAS BILL PAY/MGAS,,DR,729.19,156352.08
12-SEP-2025,12-SEP-2025,UPI/900719045303/RAPIDO BIKE TAXI/YESB,,DR,103.65,156248.43
13-SEP-2025,13-SEP-2025,POS 4262XXXXXXXX2048 CHAAYOS TEA CAFE,,DR,436.62,155811.81
13-SEP-2025,13-SEP-2025,UPI/516285941192/APOLLO PHARMACY/HDFC,,DR,1470.64,154341.17
14-SEP-2025,14-SEP-2025,NEFT DR-INCOME TAX DEPT-ADVANCE TAX INSTALMENT,,DR,45986.39,108354.78
14-SEP-2025,14-SEP-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,107755.78
15-SEP-2025,15-SEP-2025,IMPS CR-381454720-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,58032.40,165788.18
15-SEP-2025,15-SEP-2025,UPI/478945104158/ZOMATO ONLINE ORDER/YESB,,DR,338.69,165449.49
16-SEP-2025,16-SEP-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,163774.49
16-SEP-2025,16-SEP-2025,ATW-4031XXXXXXXX5967-HDFC BANK ATM CASH WITHDRAWAL,,DR,10000.00,153774.49
16-SEP-2025,16-SEP-2025,POS 4944XXXXXXXX1051 STARBUCKS COFFEE INDIA,,DR,421.76,153352.73
19-SEP-2025,19-SEP-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,153142.73
20-SEP-2025,20-SEP-2025,UPI/357762525489/ZOMATO ONLINE ORDER/YESB,,DR,553.77,152588.96
20-SEP-2025,20-SEP-2025,UPI/837869866481/LICIOUS MEAT DELIVERY/HDFC,,DR,701.73,151887.23
21-SEP-2025,21-SEP-2025,ATW-4477XXXXXXXX2855-HDFC BANK ATM CASH WITHDRAWAL,,DR,2000.00,149887.23
21-SEP-2025,21-SEP-2025,POS 5421XXXXXXXX5786 THIRD WAVE COFFEE,,DR,493.38,149393.85
22-SEP-2025,22-SEP-2025,ACH DR AMAZON PRIME MEMBERSHIP,,DR,1499.00,147894.85
22-SEP-2025,22-SEP-2025,IMPS CR-210909653-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,93762.32,241657.17
22-SEP-2025,22-SEP-2025,POS 5235XXXXXXXX2758 DECATHLON SPORTS INDIA,,DR,3965.81,237691.36
23-SEP-2025,23-SEP-2025,POS 4396XXXXXXXX6062 IRCTC RAIL TICKET BOOKING,,DR,1981.52,235709.84
23-SEP-2025,23-SEP-2025,UPI/163145688937/AMAZON SELLER SERV REFUND/HDFC,,CR,3011.76,238721.60
24-SEP-2025,24-SEP-2025,UPI/841673555473/CRED CLUB CREDIT CARD BILL/AXIS,,DR,10065.98,228655.62
25-SEP-2025,25-SEP-2025,UPI/659249657758/DOMINOS PIZZA IND/ICIC,,DR,762.55,227893.07
25-SEP-2025,25-SEP-2025,UPI/780437258253/ZEPTO NOW/YESB,,DR,361.62,227531.45
27-SEP-2025,27-SEP-2025,POS 4449XXXXXXXX4947 THIRD WAVE COFFEE,,DR,408.81,227122.64
27-SEP-2025,27-SEP-2025,UPI/535912494772/RAPIDO BIKE TAXI/YESB,,DR,66.20,227056.44
27-SEP-2025,27-SEP-2025,UPI/703902480688/ZEPTO NOW/YESB,,DR,946.59,226109.85
29-SEP-2025,29-SEP-2025,UPI/662571439003/BARBEQUE NATION HOSP/HDFC,,DR,2146.96,223962.89
30-SEP-2025,30-SEP-2025,POS 5069XXXXXXXX5599 HPCL PETROL PUMP,,DR,2060.69,221902.20
01-OCT-2025,01-OCT-2025,POS 5306XXXXXXXX2449 CHAAYOS TEA CAFE,,DR,353.94,221548.26
02-OCT-2025,02-OCT-2025,UPI/495863119106/BLINKIT GROCERY/HDFC,,DR,360.27,221187.99
02-OCT-2025,02-OCT-2025,UPI/893210348998/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,193187.99
03-OCT-2025,03-OCT-2025,UPI/842673912446/OLA CABS ANI TECH/PAYTM,,DR,547.96,192640.03
04-OCT-2025,04-OCT-2025,POS 4255XXXXXXXX5967 CHAAYOS TEA CAFE,,DR,297.46,192342.57
04-OCT-2025,04-OCT-2025,UPI/968778803481/BOOKMYSHOW TICKETS/HDFC,,DR,1324.16,191018.41
05-OCT-2025,05-OCT-2025,UPI/157268064227/BEHROUZ BIRYANI/PAYTM,,DR,648.01,190370.40
05-OCT-2025,05-OCT-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,189171.40
06-OCT-2025,06-OCT-2025,ATW-4992XXXXXXXX3152-HDFC BANK ATM CASH WITHDRAWAL,,DR,2000.00,187171.40
06-OCT-2025,06-OCT-2025,UPI/767273266721/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,175171.40
07-OCT-2025,07-OCT-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,174522.40
